latitude,longitude,floor_material,bike,car,pigs,celular,moto,telephone,tv,wash_after_poop,water_source,sex,age
-25.4411743785,32.7820058259,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,54.6902138213646
-25.5140256281,32.665880775,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,male,65.1715427966599
-25.4277295615,32.78852024,Cement,no,no,no,yes,no,no,no,Nothing,NA,male,29.6125995395755
-25.4615367122,32.7584093313,Cement,no,no,no,yes,no,no,yes,Only soap,Piped water in the yard,female,46.0405836202213
-25.2747631463,32.8707226264,Cement,yes,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,25.5654412520876
-25.0166311039,32.7769875649,Cement,no,no,no,yes,yes,no,yes,NA,Unprotected well,female,26.9404979926994
-25.5661838994,32.684048906,Adobe,no,no,no,no,no,no,no,NA,Unprotected well,female,36.0729372813628
-25.351366978,32.8146566647,Cement,no,no,no,yes,no,no,no,Nothing,NA,male,58.014299840712
-25.2586731251,32.8674883527,Cement,no,no,no,no,no,no,yes,NA,Piped water in the yard,female,48.4128090021598
-25.364033858,32.6960317457,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,female,33.2623563302262
-25.3949193866,32.790110498,Cement,no,no,no,yes,no,no,no,"yes, with water and soap",Piped water in the yard,female,37.3415146831649
-25.428502119,32.7870491081,Without,no,no,no,no,no,no,no,NA,Unprotected well,female,19.2879817547007
-25.3879476365,32.8139995393,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,female,41.201062053592
-25.5089032269,32.7277291533,Cement,no,no,no,NA,no,yes,no,"Only water, without soap",Piped water in the yard,male,57.2168569993791
-25.0550785636,32.7593968185,Adobe,no,no,no,no,no,no,no,NA,Unprotected well,male,39.6125326320413
-25.4425622419,32.7795211058,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,male,36.5924208296626
-25.3391272639,32.7982469924,Cement,yes,no,no,yes,no,no,yes,Nothing,NA,male,83.5406184324433
-25.2045035211,32.6767571815,Cement,no,no,no,yes,no,yes,yes,Nothing,Piped water in the yard,male,28.4001761773459
-25.4010598535,32.7230362065,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the house,female,26.8468932475384
-25.0510045897,32.7891715873,Cement,yes,yes,no,NA,yes,yes,yes,"yes, with water and soap",Piped water in the yard,male,19.2041975494105
-25.3666845347,32.7916079856,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,male,29.588624229182
-25.3831600238,32.7987550169,Cement,no,no,no,yes,no,no,no,"Only water, without soap",Protected well,female,71.2839842736706
-25.2419570043,32.855901092,Without,no,no,no,no,no,no,no,NA,Protected well,female,51.8262829261758
-25.5810623573,32.6738248348,Cement,no,no,no,NA,no,yes,no,"yes, with water and soap",Piped water in the yard,male,19.0383596874604
-25.4156806266,32.7702041177,Cement,no,no,no,yes,no,no,no,"yes, with water and soap",Piped water in the yard,male,44.9830832436762
-25.3480726245,32.8129686137,Cement,no,no,no,yes,no,no,no,Nothing,NA,male,48.2979590573582
-25.0531521559,32.7806156363,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,female,54.7007455061814
-25.486933808,32.6952719696,Cement,no,no,no,yes,no,no,no,NA,Piped water in the yard,female,33.8375015845579
-25.1881135184,32.8471139341,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,male,43.393124791001
-25.5829969422,32.6985873924,Cement,no,no,no,NA,no,yes,no,"Only water, without soap",Protected well,female,50.4236910122952
-25.3851066667,32.8016766667,Cement,yes,no,no,yes,no,no,yes,NA,Unprotected well,male,29.1244277565694
-25.4136309672,32.7726701196,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,33.1367484932376
-25.0570360158,32.7760413437,Cement,no,no,yes,yes,no,no,yes,Nothing,Piped water in the house,male,29.0134038212073
-25.1597087508,32.8124356921,Cement,yes,no,yes,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,female,35.4253503744446
-25.4039521288,32.7881747737,Cement,no,no,no,no,no,no,no,Nothing,NA,female,35.4544950127265
-25.3672365712,32.6980705817,Cement,no,no,no,yes,no,no,no,Nothing,NA,male,29.2328375428624
-25.1681456682,32.8055575212,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,male,62.0065064017589
-25.4006087474,32.8034481699,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,23.6409865639508
-25.2723523477,32.8500838144,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the house,male,22.0542134153318
-25.3931432784,32.8064311406,Cement,yes,no,no,yes,no,no,no,Nothing,Piped water in the yard,female,36.5930414051236
-25.1050340942,32.9333835252,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,47.283176931119
-25.4596537845,32.7560315082,Adobe,no,no,no,yes,no,no,no,Nothing,NA,female,25.428135665725
-25.4003048966,32.8033151804,Without,no,no,no,yes,no,no,no,"Only water, without soap",NA,male,39.7089537531288
-25.4520114464,32.7688052397,Cement,no,no,no,yes,no,no,no,Nothing,NA,male,48.3257180092166
-25.3747184374,32.7257075699,Cement,no,no,no,yes,no,no,no,Nothing,Protected well,male,43.4418030718819
-25.0504840696,32.7803688874,Without,no,no,no,no,no,no,no,Nothing,NA,male,29.4250145126705
-25.3766566349,32.9628457648,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the house,male,23.8995527721388
-25.1913161171,32.8357037323,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",NA,female,39.9280994531203
-25.3749069809,32.7174665218,Cement,no,no,no,no,no,no,no,NA,Piped water in the yard,female,70.5164698072991
-25.4578011923,32.7656539678,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,54.6149640671362
-25.165351662,32.9624672929,Cement,no,no,no,yes,no,yes,yes,NA,Piped water in the yard,male,23.6067579518426
-25.3430935266,32.8035940605,Cement,no,no,no,yes,no,no,no,"Only water, without soap",NA,male,41.9232865731831
-25.3876069204,32.8123090151,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the house,male,39.3506884025382
-25.1598529943,32.8085986824,Cement,yes,yes,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,female,51.388420164466
-25.4064771354,32.7935085818,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,male,53.9279949228536
-25.4644085926,32.6889125165,Cement,yes,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,female,46.2684203183634
-25.3913654677,32.8074182099,Cement,yes,no,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the house,male,64.5679618370505
-25.3937282881,32.7956882789,Cement,no,no,no,no,no,no,yes,"yes, with water and soap",Piped water in the yard,female,26.8312060499944
-25.3943245052,32.7992902288,Cement,no,no,no,yes,no,no,no,Nothing,NA,male,22.2135541455263
-25.4420434968,32.7794690866,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,male,26.1781215711825
-25.3438717626,32.7851213823,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,male,42.7440486254418
-25.3837285366,32.8145958993,Cement,no,no,no,NA,no,yes,no,"yes, with water and soap",Others,female,36.1709755927276
-25.3925355663,32.8129454533,Adobe,no,no,no,no,no,no,no,NA,Unprotected well,male,28.775681599413
-25.3948565631,32.7976960006,Cement,no,no,no,yes,no,no,no,NA,Piped water in the house,female,36.5572424768353
-25.4604267272,32.7639072895,Cement,no,no,no,yes,no,no,no,NA,Unprotected well,male,27.1433233983584
-25.0718076119,32.8114749252,Cement,no,no,no,no,no,no,no,NA,Unprotected well,male,24.0176867510286
-25.1762933588,33.0645364483,Cement,no,no,no,no,no,no,no,"Only water, without soap",NA,male,21.3500318531144
-25.0581688465,32.7917458034,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the house,male,50.3543687547819
-25.3964856992,32.9121386612,Cement,no,no,no,yes,no,no,no,Nothing,NA,male,25.1429452514927
-25.3915716667,32.80494,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,34.0674636762264
-25.4326356594,32.7837606851,Without,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,male,41.8321161843167
-25.2651628347,32.8788363003,Cement,no,no,no,no,no,no,no,NA,Piped water in the yard,female,41.350300352718
-25.0843684545,32.8487211109,Cement,no,no,no,NA,no,yes,yes,Nothing,Unprotected well,male,31.5737487682953
-25.4451585841,32.7697493301,Without,no,yes,no,yes,no,no,no,NA,Protected well,female,34.4311792688007
-25.3891378365,32.9246481178,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the house,male,37.6509001303921
-25.3645041317,32.7860805338,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,57.3025428209536
-25.0516740684,32.7835975934,Cement,no,no,no,yes,no,no,no,NA,Piped water in the house,male,20.0115200816753
-25.4877504677,32.7038281398,Cement,no,no,no,no,no,no,no,Nothing,Protected well,female,49.3686422406457
-25.0821174966,32.8401267074,Cement,yes,no,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the yard,male,23.094944773219
-25.0729410485,32.8373027121,Cement,no,no,no,no,no,no,doesn't know,Nothing,Piped water in the yard,male,24.7166097062247
-25.378635,32.7890766667,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,male,32.8700232272046
-25.3659840731,32.8168305438,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,female,46.0814313264334
-25.4331067467,32.7786515264,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,47.3266790644201
-25.4614122999,32.7644386726,Adobe,no,no,no,yes,no,no,no,NA,Protected well,female,21.9480709562582
-25.4378325933,32.7725920892,Cement,no,no,no,no,no,no,yes,NA,Piped water in the yard,male,49.3075147978729
-25.0522664424,32.7790506966,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,48.3713741455625
-25.0735860432,32.8179659144,Adobe,no,no,yes,yes,no,no,yes,Nothing,NA,male,41.1490049756718
-25.2627372343,32.8723542172,Cement,no,no,yes,NA,no,yes,yes,Nothing,Piped water in the yard,female,61.804957941154
-25.3950024203,32.8036680768,Without,no,no,no,no,no,no,no,Nothing,Unprotected well,female,45.076518622615
-25.4224383205,32.7907490271,Cement,yes,no,no,yes,no,no,yes,NA,Protected well,male,21.4560857336177
-25.3956973283,32.7889164016,Cement,no,no,no,yes,no,no,yes,NA,Fontenary,male,32.6839352425878
-25.4451160268,32.9298486052,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,61.8635940363939
-25.2693682228,32.8552490481,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,female,53.0258838965177
-25.2891554035,32.8580449788,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,19.1005367853241
-25.4534594831,32.7753966957,Cement,no,no,yes,yes,no,no,no,Nothing,NA,male,25.8385645440371
-25.3218393327,32.8236269681,Cement,no,no,no,yes,no,no,no,"Only water, without soap",Piped water in the yard,female,24.7153716002198
-25.4791611145,32.6587965478,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,male,26.4134455730363
-25.0544840644,32.7822326506,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,female,47.820583023635
-25.1629686975,32.8019689482,Cement,yes,no,no,NA,no,yes,no,"Only water, without soap",Piped water in the yard,female,21.6118317895891
-25.4546309443,32.6624368433,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,female,27.0947490278073
-25.1540258334,32.8030909382,Cement,yes,no,no,yes,no,no,yes,NA,Piped water in the yard,female,22.2427820272023
-25.2398806226,32.8496965297,Cement,yes,yes,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the house,male,30.5243882615945
