Ranking,Sexe,Nom,Freq,Percent,Year
26.17,H,MARC,1484,26.17,1997
19.68,D,LAURA,1116,19.68,1997
16.91,D,MARIA/MARÍA,959,16.91,1997
16.68,H,DAVID,946,16.68,1997
16.31,D,ANDREA,925,16.31,1997
15.66,D,MARTA,888,15.66,1997
14.07,D,PAULA,798,14.07,1997
13.92,D,ANNA,789,13.92,1997
13.17,H,DANIEL,747,13.17,1997
12.61,D,LAIA,715,12.61,1997
11.99,H,SERGI,680,11.99,1997
11.62,H,JORDI,659,11.62,1997
11.41,D,ALBA,647,11.41,1997
11.27,H,ALBERT,639,11.27,1997
11.2,H,ÀLEX/ÁLEX,635,11.2,1997
10.49,D,CRISTINA,595,10.49,1997
10.3,D,CARLA,584,10.3,1997
9.86,D,SARA,559,9.86,1997
9.75,H,VÍCTOR,553,9.75,1997
9.52,H,ARNAU,540,9.52,1997
9.49,H,PAU,538,9.49,1997
9.19,D,JÚLIA/JULIA,521,9.19,1997
9.03,H,POL,512,9.03,1997
9.01,H,ROGER,511,9.01,1997
8.85,H,ORIOL,502,8.85,1997
8.66,H,ALEJANDRO,491,8.66,1997
8.39,H,GERARD,476,8.39,1997
8.38,D,MARINA,475,8.38,1997
8.2,D,NÚRIA/NURIA,465,8.2,1997
8.18,H,ADRIÁN,464,8.18,1997
8.11,H,ADRIÀ,460,8.11,1997
8.11,H,JOAN,460,8.11,1997
8.06,H,IVAN/IVÁN,457,8.06,1997
7.97,D,MIREIA,452,7.97,1997
7.88,D,ARIADNA,447,7.88,1997
7.83,H,CARLOS,444,7.83,1997
7.53,D,CLÀUDIA/CLAUDIA,427,7.53,1997
7.16,D,JUDITH,406,7.16,1997
7.13,H,XAVIER,404,7.13,1997
7.02,D,JUDIT,398,7.02,1997
6.98,H,ERIC/ÈRIC/ÉRIC,396,6.98,1997
6.83,H,SERGIO,387,6.83,1997
6.74,H,ÒSCAR/ÓSCAR,382,6.74,1997
6.56,D,IRENE,372,6.56,1997
6.16,H,GUILLEM,349,6.16,1997
6.1,H,RAÜL/RAÚL,346,6.1,1997
5.94,H,JAVIER,337,5.94,1997
5.66,D,SANDRA,321,5.66,1997
5.38,H,ALEIX,305,5.38,1997
5.33,H,JOEL,302,5.33,1997
5.08,H,RUBÈN/RUBÉN,288,5.08,1997
4.89,D,RAQUEL,277,4.89,1997
4.8,D,ANA,272,4.8,1997
4.66,D,CLARA,264,4.66,1997
4.55,H,FERRAN,258,4.55,1997
4.53,D,MÍRIAM/MIRIAM,257,4.53,1997
4.25,D,MAR,241,4.25,1997
4.22,D,NEREA,239,4.22,1997
4,D,"NATÀLIA/NATALIA",227,4,1997
3.88,H,EDUARD,220,3.88,1997
3.77,H,ANTONIO,214,3.77,1997
3.74,H,MIQUEL,212,3.74,1997
3.72,D,MARIONA,211,3.72,1997
3.69,D,SÍLVIA/SILVIA,209,3.69,1997
