province,district,name,number,administrative_pst,locality,area,classification,type,level,latitude,longitude
CABO DELGADO,CIDADE DE PEMBA,HP Pemba,148,CIDADE DE PEMBA,CIDADE DE PEMBA,URBANA,Hospital Provincial,Hospital Provincial,Nivel Terciario,-12.9658,40.4953
CABO DELGADO,CIDADE DE PEMBA,CS Cariaco,149,CIDADE DE PEMBA,BAIRRO CARIACO,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-12.9631,40.5172
CABO DELGADO,CIDADE DE PEMBA,CS Ingoname,150,CIDADE DE PEMBA,BAIRRO NATITE,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-12.9611,40.5071
CABO DELGADO,CIDADE DE PEMBA,CS Natite,151,CIDADE DE PEMBA,BAIRRO NATITE,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-12.9619,40.5089
CABO DELGADO,CIDADE DE PEMBA,CS Bairro Cimento,152,CIDADE DE PEMBA,BAIRRO NATITE,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-12.961061,40.507145
CABO DELGADO,CIDADE DE PEMBA,CS Eduardo Mondlane,153,CIDADE DE PEMBA,BAIRRO EDUARDO MONDLANE,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-12.9711,40.5533
CABO DELGADO,CIDADE DE PEMBA,CS Mahate,154,CIDADE DE PEMBA,CIDADE DE PEMBA,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-13.0192,40.5294
CABO DELGADO,CIDADE DE PEMBA,CS Muxara,155,CIDADE DE PEMBA,CIDADE DE PEMBA,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-13.0597,40.525
CABO DELGADO,CIDADE DE PEMBA,CS Paquite,156,CIDADE DE PEMBA,BAIRRO PAQUITEQUETE,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-12.9625,40.4867
CABO DELGADO,CIDADE DE PEMBA,PS Medico da Cadeia,157,CIDADE DE PEMBA,CIDADE DE PEMBA,URBANA,Posto de Saude,Posto de Saude,Nivel Primario,-12.9642,40.4911
CABO DELGADO,CIDADE DE PEMBA,CS Chiuba,158,CIDADE DE PEMBA,CIDADE DE PEMBA,URBANA,Centro de Saude,Centro de Saude Urbano,Nivel Primario,-13.0225,40.5656
CABO DELGADO,ANCUABE,CS Ancuabe,159,ANCUABE,ANCUABE SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.9669,39.8572
CABO DELGADO,ANCUABE,CS Marire,160,MESA,CAMPINE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.0917,39.5931
CABO DELGADO,ANCUABE,CS Metoro,161,METORO,METORO SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.105,39.8742
CABO DELGADO,ANCUABE,CS Meza,162,MESA,MESA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.0319,39.5522
CABO DELGADO,ANCUABE,CS Minhuene,163,MESA,MINHUENE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.9939,39.4675
CABO DELGADO,ANCUABE,CS Ngewe,164,ANCUABE,GIHOTE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-12.8603,39.9492
CABO DELGADO,BALAMA,CS Balama,165,BALAMA,BALAMA SEDE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.3483,38.5669
CABO DELGADO,BALAMA,CS Impiri,166,IMPIRI,SIVACA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.3778,38.3703
CABO DELGADO,BALAMA,CS Kwekwe,167,KUEKUE,JAMIRA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.5469,38.4244
CABO DELGADO,BALAMA,CS Mavala,168,MAVALA,MPAKA,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.2261,38.4806
CABO DELGADO,BALAMA,CS Ntete,169,BALAMA,NTETE,RURAL,Centro de Saude,Centro de Saude Rural,Nivel Primario,-13.2733,38.6361
CABO DELGADO,BALAMA,PS Metata,170,BALAMA,MURIPA,RURAL,Posto de Saude,Posto de Saude,Nivel Primario,-13.4286,38.5947
CABO DELGADO,BALAMA,CS Murripa,171,NA,NA,NA,NA,NA,NA,-13.4650053289,38.4066886543
