data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5546757,454,MAW472,472,"05 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,AFP,International,"05 July. Demonstrators marched through the streets of Lilongwe. The demonstration is in response to the 21 May election results which is marred with allegations of fraud. [size=3000].",0,1562618544,MWI
5546758,454,MAW473,473,"05 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Blantyre,-15.7833,35,1,AFP,International,"05 July. Demonstrators marched through the streets of Blantyre. The demonstration is in response to the 21 May election results which is marred with allegations of fraud. [size=3000].",0,1562618544,MWI
5546753,454,MAW468,468,"04 July 2019",2019,1,Riots,"Violent demonstration","Rioters (Malawi)","HRDC: Human Rights Defenders Coalition",5,,,0,50,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi); Nation (Malawi); News24 (South Africa)",National-Regional,"04 July. Demonstrators, led by the Human Rights Defenders Coalition (HRDC), gathered in Lilongwe to demonstrate against the re-election of the current president, who they claim came into office due to fraud. A group of youth, part of the demonstration, allegedly looted a supermarket and an electronics shop during the demonstration. Demonstrators burned tires and damaged statues at the Parliament Building. [size=3500].",0,1562618544,MWI
5546754,454,MAW469,469,"04 July 2019",2019,1,Riots,"Mob violence","Rioters (Malawi)","DPP: Democratic Progressive Party",5,"Protesters (Malawi)","HRDC: Human Rights Defenders Coalition",6,56,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Blantyre,-15.7833,35,1,"Nyasa Times (Malawi); AFP",National-International,"04 July. Demonstrators, led by the Human Rights Defenders Coalition (HRDC), who are demonstrating against the election results of the 21 May elections, were attacked by twenty-five Progressive Democratic Party (DPP) Youth Cadets, armed with knives, sticks, and machetes, in Blantyre. [size=no report].",0,1562618544,MWI
5546755,454,MAW470,470,"04 July 2019",2019,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Northern,Mzimba,"TA Chindi",Mzuzu,-11.45,33.5833,1,"Nyasa Times (Malawi); Malawi Times",National,"04 July. Demonstrators, demonstrating against the 21 May election results, allegedly vandalized the offices of the Electricity Supply Corporation of Malawi (Escom), commercial banks in Mzuzu, looted and destroyed public structures, including Mzuzu Prison Building and Karonga District Commissioner (DC)'s office. Police used teargas to disperse the crowds. [size=no report].",0,1562618544,MWI
5546756,454,MAW471,471,"04 July 2019",2019,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Southern,Zomba,"Zomba City",Zomba,-15.3833,35.3333,1,"Malawi Times",National,"04 July. Demonstrators vandalized billboards of the current president during a demonstration in Zomba. Demonstrators also barricaded roads with burning tires. Police fired teargas to disperse the crowds. [size=no report].",0,1562618544,MWI
5234046,454,MAW461,461,"20 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Malawi)","HRDC: Human Rights Defenders Coalition; UTM: United Transformation Movement; MCP: Malawi Congress Party",5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Malawi Times; Citizen (South Africa)",National-Regional,"20 June. Demonstrators, led by the Human Rights Defenders Coalition (HRDC), Malawi Congress Party (MCP), and Malawi's United Transformation Movement (UTM), burned shirts and flags from the Democratic Progressive Party during a demonstration in Lilongwe. The demonstrators are demanding the Malawi Electoral Commission chairperson to resign due to the suspected irregularities during the 21 May elections. Police said that shops were also looted during the demonstration and two police officers have been injured when demonstrators threw rocks at the police. Police used teargas to disperse the crowds. [size=1000].",0,1561405222,MWI
5234047,454,MAW462,462,"20 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Malawi)","HRDC: Human Rights Defenders Coalition; UTM: United Transformation Movement; MCP: Malawi Congress Party",5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Blantyre,-15.7833,35,1,"Malawi Times; Citizen (South Africa)",National-Regional,"20 June. Demonstrators, led by the Human Rights Defenders Coalition (HRDC) Malawi Congress Party (MCP), and Malawi's United Transformation Movement (UTM), demonstrated in Blantyre. The demonstrators are demanding the Malawi Electoral Commission chairperson to resign due to the suspected irregularities during the 21 May elections. Police used teargas to disperse the crowds. [size=1000].",0,1561405222,MWI
5234048,454,MAW463,463,"20 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Malawi)","HRDC: Human Rights Defenders Coalition; UTM: United Transformation Movement; MCP: Malawi Congress Party",6,,,0,60,"Eastern Africa",Malawi,Northern,Mzimba,"TA Chindi",Mzuzu,-11.45,33.5833,1,"Malawi Times; Citizen (South Africa)",National-Regional,"20 June. Demonstrators, led by the Human Rights Defenders Coalition (HRDC) Malawi Congress Party (MCP), and Malawi's United Transformation Movement (UTM), demonstrated in Mzuzu. The demonstrators are demanding the Malawi Electoral Commission chairperson to resign due to the suspected irregularities during the 21 May elections. [size=1000].",0,1561405222,MWI
5234049,454,MAW464,464,"20 June 2019",2019,1,Protests,"Peaceful protest","Protesters (Malawi)","HRDC: Human Rights Defenders Coalition; UTM: United Transformation Movement; MCP: Malawi Congress Party",6,,,0,60,"Eastern Africa",Malawi,Southern,Zomba,"Zomba City",Zomba,-15.3833,35.3333,1,"Malawi Times",National,"20 June. Demonstrators, led by the Human Rights Defenders Coalition (HRDC) Malawi Congress Party (MCP), and Malawi's United Transformation Movement (UTM), demonstrated in Zomba. The demonstrators are demanding the Malawi Electoral Commission chairperson to resign due to the suspected irregularities during the 21 May elections. [size=1000].",0,1561405222,MWI
5234045,454,MAW460,460,"19 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Malawi)","MCP: Malawi Congress Party",5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"19 June. President Peter Mutharika's security detail had to make changes to his route after police fired teargas at Malawi Congress Party (MCP) demonstrators who barricaded the M1 main road in Lilongwe with burning tires. The demonstrators threw rocks at the police. The demonstration was against the May elections. Demonstrators claim that there were irregularities during the elections. [size=no report].",0,1561405222,MWI
