edat,year,key,value,p,grp
0 a 04,2000,Catalunya,260457,4.1593267581166975,Per edat
05 a 09,2000,Catalunya,266455,4.255110867951272,Per edat
10 a 14,2000,Catalunya,279961,4.470792793163972,Per edat
15 a 19,2000,Catalunya,350335,5.594619226224725,Per edat
20 a 24,2000,Catalunya,464005,7.409854265387139,Per edat
25 a 29,2000,Catalunya,453721,7.245625558228292,Per edat
30 a 34,2000,Catalunya,394909,6.306436650660596,Per edat
35 a 39,2000,Catalunya,324737,5.185836024566596,Per edat
40 a 44,2000,Catalunya,262790,4.196583231648552,Per edat
45 a 49,2000,Catalunya,206305,3.294554981564194,Per edat
50 a 54,2000,Catalunya,185686,2.9652831308340994,Per edat
55 a 59,2000,Catalunya,152724,2.4389016989622645,Per edat
60 a 64,2000,Catalunya,128929,2.0589112198836186,Per edat
65 a 69,2000,Catalunya,164005,2.619051839516423,Per edat
70 a 74,2000,Catalunya,150229,2.3990581921204392,Per edat
75 a 79,2000,Catalunya,122210,1.9516132148855343,Per edat
80 a 84,2000,Catalunya,72718,1.1612585693482225,Per edat
85+,2000,Catalunya,64966,1.0374642346637233,Per edat
0 a 04,2001,Catalunya,274016,4.307503185244047,Per edat
05 a 09,2001,Catalunya,264746,4.161779743812845,Per edat
10 a 14,2001,Catalunya,273332,4.296750775973396,Per edat
15 a 19,2001,Catalunya,330684,5.198318285462318,Per edat
20 a 24,2001,Catalunya,444196,6.982715187699496,Per edat
25 a 29,2001,Catalunya,466121,7.327373920534351,Per edat
30 a 34,2001,Catalunya,403885,6.349030436077792,Per edat
35 a 39,2001,Catalunya,340401,5.351068520671271,Per edat
40 a 44,2001,Catalunya,274990,4.32281436452711,Per edat
45 a 49,2001,Catalunya,214326,3.3691825575171364,Per edat
50 a 54,2001,Catalunya,188364,2.961062602130203,Per edat
55 a 59,2001,Catalunya,153063,2.4061345324470453,Per edat
60 a 64,2001,Catalunya,130877,2.0573729066010205,Per edat
65 a 69,2001,Catalunya,160069,2.516268127988254,Per edat
70 a 74,2001,Catalunya,151616,2.3833878420747747,Per edat
75 a 79,2001,Catalunya,126195,1.9837723507454768,Per edat
80 a 84,2001,Catalunya,76237,1.1984377566764366,Per edat
85+,2001,Catalunya,66698,1.0484856630613084,Per edat
0 a 04,2002,Catalunya,287847,4.424032189645951,Per edat
05 a 09,2002,Catalunya,263798,4.054413780807939,Per edat
10 a 14,2002,Catalunya,270120,4.15157905090956,Per edat
15 a 19,2002,Catalunya,312834,4.808067084304167,Per edat
20 a 24,2002,Catalunya,421890,6.484191047638954,Per edat
25 a 29,2002,Catalunya,473724,7.2808478983899025,Per edat
30 a 34,2002,Catalunya,413763,6.359284032435557,Per edat
35 a 39,2002,Catalunya,357907,5.500811503679431,Per edat
