data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5546798,508,MZM1086,1086,"06 July 2019",2019,1,"Violence against civilians",Attack,"ASWJ: Ahlu Sunna Wal Jamaa",,3,"Civilians (Mozambique)",,7,37,"Eastern Africa",Mozambique,"Cabo Delgado",Macomia,Mucojo,Nambo,-12.0565,40.4946,1,Twitter,Other,"On Jul 6th, the village of Nambo was attacked by ASWJ. 20 houses were burnt, 1 woman is missing. No fatalities reported.",0,1562618544,MOZ
5546796,508,MZM1084,1084,"04 July 2019",2019,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mozambique)",,3,"Civilians (Mozambique)","MDM: Mozambique Democratic Movement",7,37,"Eastern Africa",Mozambique,Zambezia,"Cidade De Quelimane","Cidade De Quelimane",Quelimane,-17.8786,36.8883,1,"Club Mozambique",National,"On Jul 4th, unknown assailants attacked and beat Andre Txetema, the Deputy Chairperson of the Municipal Assembly in the province of Zambezia. The attack occured in Quelimane. He is the only member of the Mozambique Democratic Movement (MDM) in the Municipal Assembly and his vote is crucial as there are ten members of Frelimo and ten members of Renamo.",0,1562618544,MOZ
5546797,508,MZM1085,1085,"04 July 2019",2019,1,Protests,"Protest with intervention","Protesters (Mozambique)","Fishermen (Mozambique)",6,"Police Forces of Mozambique (1990-)",,1,16,"Eastern Africa",Mozambique,"Maputo City",Kampfumu,Kampfumu,"Costa do Sol",-25.9161,32.6469,1,"O Pais",International,"On Jul 4th, fishermen from Costa Del Sol protested against the withdrawal of fishing vessel networks and engines by Fisheries enforcement officials. The police intervened to disperse the crowd. [Size=no report]",0,1562618544,MOZ
5546795,508,MZM1083,1083,"03 July 2019",2019,1,Battles,"Armed clash","Islamic State (Mozambique)",,2,"Military Forces of Mozambique (1990-)",,1,12,"Eastern Africa",Mozambique,"Cabo Delgado",Nangade,Nangade,Nangade,-11.0772,39.6744,2,Twitter,Other,"On July 3rd, the village of Lidjungo (no coordinates available), Nangade, was attacked by an armed group. Houses were burnt and 7 people, including one soldier, died. The Islamic State's Middle Africa Province claimed the attack. In the past, IS has claimed ASWJ attacks in the region- it remains unclear if the group was responsible for carrying out this attack. Government sources reported the attack was carried out by an Islamist group, without providing further details.",7,1562618544,MOZ
5546791,508,MZM1079,1079,"02 July 2019",2019,1,"Violence against civilians",Attack,"ASWJ: Ahlu Sunna Wal Jamaa",,3,"Civilians (Mozambique)",,7,37,"Eastern Africa",Mozambique,"Cabo Delgado",Macomia,Mucojo,Nambija,-12.0327,40.3894,1,"Club Mozambique",National,"On July 2nd, the village of Nambija 2 was attacked by ASWJ militants. Houses were burnt. No fatalities reported.",0,1562618544,MOZ
5546792,508,MZM1080,1080,"02 July 2019",2019,2,Protests,"Protest with intervention","Protesters (Mozambique)",,6,"Police Forces of Mozambique (1990-)",,1,16,"Eastern Africa",Mozambique,Maputo,Boane,Boane,Beluluane,-25.9108,32.4063,1,Miramar,National,"Around July 2nd, the people of Chonisa-Chipama in Boane held a protest in Beluluane, accusing the police of releasing cattle thieves (that the same population had sent to the police station) and arresting the villagers who turned over the cattle thieves, instead. The police used tear gas and rubber bullets to disperse the crowd. [Size=no report]",0,1562618544,MOZ
5546793,508,MZM1081,1081,"02 July 2019",2019,2,Riots,"Mob violence","Rioters (Mozambique)","Vigilante Group (Mozambique)",5,"Civilians (Mozambique)",,7,57,"Eastern Africa",Mozambique,Maputo,Boane,Boane,Boane,-26.0423,32.3302,2,Miramar,National,"Around Jul 2nd, villagers of Chonis-Chipama (Boane) attacked alleged cattle robbers, before handing them over to Beluluane police station.",0,1562618544,MOZ
5546794,508,MZM1082,1082,"02 July 2019",2019,1,"Violence against civilians",Attack,"ASWJ: Ahlu Sunna Wal Jamaa",,3,"Civilians (Mozambique)",,7,37,"Eastern Africa",Mozambique,"Cabo Delgado",Macomia,Mucojo,Aldeia,-12.0354,40.4634,1,Twitter,Other,"On Jul 2nd, the village of Aldeia was attacked by suspected ASWJ forces. No fatalities reported.",0,1562618544,MOZ
5546790,508,MZM1078,1078,"01 July 2019",2019,1,"Violence against civilians",Attack,"ASWJ: Ahlu Sunna Wal Jamaa",,3,"Civilians (Mozambique)",,7,37,"Eastern Africa",Mozambique,"Cabo Delgado","Mocimboa Da Praia","Mocimboa Da Praia","Mocimboa da Praia",-11.346,40.3522,2,"Club Mozambique",National,"On July 1st, the Dacia administrative post in Mocimboa da Praia (no coordinates available) was attacked by ASWJ. 7 people were killed.",7,1562618544,MOZ
5546789,508,MZM1077,1077,"29 June 2019",2019,1,"Violence against civilians",Attack,"ASWJ: Ahlu Sunna Wal Jamaa",,3,"Civilians (Mozambique)",,7,37,"Eastern Africa",Mozambique,"Cabo Delgado","Mocimboa Da Praia","Mocimboa Da Praia",Simbalongo,-11.5333,40.3666,1,Twitter,Other,"On Jun 29th, the village of Simbalongo was attacked by ASWJ. 1 person was killed.",1,1562618544,MOZ
5543208,508,MZM1075,1075,"26 June 2019",2019,1,"Violence against civilians",Attack,"ASWJ: Ahlu Sunna Wal Jamaa",,3,"Civilians (Mozambique)",,7,37,"Eastern Africa",Mozambique,"Cabo Delgado",Palma,Pundanhar,Pundanhar,-10.8947,40.0611,2,"Carta de Mocambique",National,"On Jun 26th, in the village of Quissungule - a few kilometers from Pundanhar - 11 civilians were killed in an attack by insurgents allegedly belonging to ASWJ.",11,1562009109,MOZ
5543207,508,MZM1074,1074,"21 June 2019",2019,1,"Violence against civilians",Attack,"Police Forces of Mozambique (1990-)",,1,"Civilians (Mozambique)",,7,17,"Eastern Africa",Mozambique,Manica,Gondola,Gondola,Gondola,-19.0883,33.6486,1,"Club Mozambique",National,"On Jun 21th, in Gondola, following tensions during the distribution of food to victims of Cyclone Idai, a Municipal Police officer shot and killed an 18-year-old. 6 people were injured.",1,1562009109,MOZ
5234079,508,MZM1073,1073,"17 June 2019",2019,1,Battles,"Armed clash","Police Forces of Mozambique (1990-)",,1,"Military Forces of South Africa (1994-)",,8,18,"Eastern Africa",Mozambique,Maputo,Matutuine,Zitundo,"Ponta do Ouro",-26.8429,32.8848,1,VOA,International,"On June 17th, in Ponta do Ouro, two Police agents were killed in and armed clash with South-African Militias.",2,1561405222,MOZ
5234078,508,MZM1072,1072,"15 June 2019",2019,1,Riots,"Mob violence","Rioters (Mozambique)","Vigilante Group (Mozambique)",5,"Civilians (Mozambique)",,7,57,"Eastern Africa",Mozambique,Nampula,"Cidade De Nampula","Cidade De Nampula",Nampula,-15.12,39.2647,1,Miramar,National,"On June 15th, locals in Nampula lynched a man, who was caught breaking into a house. [Size=no report]",1,1561405222,MOZ
5234077,508,MZM1071,1071,"13 June 2019",2019,1,Battles,"Armed clash","Military Forces of Mozambique (1990-)",,1,"ASWJ: Ahlu Sunna Wal Jamaa",,3,13,"Eastern Africa",Mozambique,"Cabo Delgado",Nangade,Nangade,Nangade,-11.0772,39.6744,2,"Club Mozambique",National,"On June 13th, the Mozambican defence and security forces killed 26 insurgents allegedly belonging to ASWJ, in Nangade district. 13 insurgents were injured.",26,1561405222,MOZ
5216971,508,MZM1069,1069,"12 June 2019",2019,1,Riots,"Violent demonstration","Rioters (Mozambique)",,5,"Police Forces of Mozambique (1990-)",,1,15,"Eastern Africa",Mozambique,Nampula,"Cidade De Nampula","Cidade De Nampula",Nampula,-15.12,39.2647,1,"O Pais",International,"12 June. A demonstration was held in Nampula, the demonstrators vandalized the residence of a foreign national accused of kidnapping. Police intervened to disperse the demonstrators using tear gas. [size=no report]",0,1560806717,MOZ
